event_legislator,event_related_party,event_related_state,event_congress_district,event_meeting_type,event_date,event_time,event_description,event_location,event_url
Will Hurd,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017","9:00 AM, CST",,"1011 19th St, Hondo, TX 78861",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017","12:00 PM, CST",,"301 W Main St, Uvalde, TX 78801",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017","3:00 PM, CST",,"510 S Ellen St, Brackettville, TX 78832",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Wed, Apr 5, 2017","10:00 AM, CST",,"308 Cesar Chavez, Crystal City, TX 78839",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Wed, Apr 5, 2017","1:30 PM, CST",,"1951 Taft St, Eagle Pass, TX 78852",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","9:00 AM, CST",,"200 N 9th St, Carrizo Springs, TX 78834",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","11:00 AM, CST",,"E O'Reilly St, Presidio, TX 79845",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","12:00 PM, CST",,"155 I-35BL, Cotulla, TX 78014",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","2:30 PM, CST",,"115 E Oak St, Marfa, TX 79843",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","3:00 PM, CST",,"200 E Trinity St, Pearsall, TX 78061",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Fri, Apr 7, 2017","11:00 AM, CST",,"201 SW Main St, Eldorado, TX 76936",https://townhallproject.com
John Cornyn,Republican,Texas,Senate,Coffee,Every Thursday,"9:30 AM, EST",,"Hart Senate Office Building, Washington, DC 20002",https://townhallproject.com
Ted Cruz,Republican,Texas,Senate,Coffee,Every Tuesday,"9:30 AM, EST",,Texas,https://townhallproject.com
Kay Granger,Republican,Texas,TX-12,Tele-town Hall,,", CST",,Texas,https://townhallproject.com
Randy Weber,Republican,Texas,TX-14,Tele-town Hall,,", CST",,Texas,https://townhallproject.com
Bill Flores,Republican,Texas,TX-17,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:30 PM, CST",,"3111 Speidel Dr, Pflugerville, TX 78660",https://townhallproject.com
Mark Veasey,Democrat,Texas,TX-33,Town Hall,"Tue, Feb 28, 2017","1:00 PM, CST",,"6962 Forest Hill Dr, Forest Hill, TX 76140",https://townhallproject.com
Mark Veasey,Democrat,Texas,TX-33,Town Hall,"Thu, Mar 2, 2017","1:00 PM, CST",,"4125 W Clarendon Dr, Dallas, TX 75211",https://townhallproject.com
Jerry Moran,Republican,Texas,Senate,Empty Chair Town Hall,"Tue, Feb 21, 2017","5:00 PM, CST",,"3447 S Meridian Ave, Wichita, KS 67217",https://townhallproject.com
"Ted Cruz, John Cornyn",Republican,Texas,Senate,Empty Chair Town Hall,2/20/2017,"6:00 PM, CST",,"2906 Fruth St, Austin, TX 78705",https://townhallproject.com
Mike Lee,Republican,Utah,Senate,Teletown Hall,"Wed, Feb 22, 2017","8:00 PM, EST",,Utah,https://townhallproject.com
Chris Stewart,Republican,Utah,UT-02,Teletown Hall,"Wed, Mar 1, 2017","7:00 PM, MST",,Utah,https://townhallproject.com
Bernie Sanders,Independent,Vermont,Senate,Other,"Fri, Feb 24, 2017","7:00 PM, CST",,"420 SE 6th Ave, Topeka, KS 66607",https://townhallproject.com
Barbara Comstock,Republican,Virginia,VA-10,Teletown Hall,"Tue, Feb 21, 2017","7:30 PM, EST",,Virginia,https://townhallproject.com
Scott Taylor,Republican,Virginia,VA-2,Town Hall,"Mon, Feb 20, 2017","7:00 PM, EST",,"5194 Chief Trail, Virginia Beach, VA 23464",https://townhallproject.com
Scott Taylor,Republican,Virginia,VA-2,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",,"29300 Lankford Hwy, Melfa, VA 23410",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Feb 22, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Scott Taylor,Republican,Virginia,VA-02,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",,"29300 Lankford Hwy, Melfa, VA 23410",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Feb 28, 2017","8:30 AM, EST",,"311 S Pollard St, Vinton, VA 24179",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Mar 1, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 2, 2017","11:30 AM, EST",,"20593 Blue and Gold Dr, Elkton, VA 22827",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Mar 6, 2017","9:00 AM, EST",,"45 E Main St, Luray, VA 22835",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 7, 2017","9:00 AM, EST",,"153 Washington St, Amherst, VA 24521",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 7, 2017","11:30 AM, EST",,"201 Green St, Bridgewater, VA 22812",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 7, 2017","11:00 AM, EST",,"River James Shopping Center, 174 River James Dr, Madison Heights, VA 24572",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Mar 8, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 9, 2017","9:00 AM, EST",,"116 Broadway Ave, Broadway, VA 22815",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 9, 2017","2:30 PM, EST",,"Water St, Monterey, VA 24465",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 9, 2017","11:30 AM, EST",,"5901 Main St, Mt Jackson, VA 22842",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 9, 2017","11:30 AM, EST",,"65 Courthouse Hill Rd, Warm Springs, VA 24484",https://townhallproject.com
Don Beyer,Democrat,Virginia,VA-08,Town Hall,"Mon, Mar 13, 2017","7:00 PM, EST",,"7836 Fordson Rd, Alexandria, VA 22306",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 14, 2017","10:30 AM, EST",,"19753 Main St, Buchanan, VA 24066",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 14, 2017","9:00 AM, EST",,"1 E Main St, Fincastle, VA 24090",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Mar 15, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 16, 2017","11:00 AM, EST",,"2039 Sycamore Ave, Buena Vista, VA 24416",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 16, 2017","9:00 AM, EST",,"150 S Main St, Lexington, VA 24450",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Mar 16, 2017","9:30 AM, EST",,"135 N Main St, Woodstock, VA 22664",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Mar 20, 2017","9:00 AM, EST",,"45 E Main St, Luray, VA 22835",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 21, 2017","10:00 AM, EST",,"15583 Forest Rd, Forest, VA 24551",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 21, 2017","9:30 AM, EST",,"601 Dogwood Ave, Grottoes, VA 24441",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 21, 2017","11:30 AM, EST",,"600 S Wayne Ave, Waynesboro, VA 22980",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Mar 22, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Mar 28, 2017","8:30 AM, EST",,"311 S Pollard St, Vinton, VA 24179",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Mar 29, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Sat, Apr 1, 2017","11:30 AM, EST",,"201 Green St, Bridgewater, VA 22812",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 3, 2017","9:00 AM, EST",,"153 Washington St, Amherst, VA 24521",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 3, 2017","9:00 AM, EST",,"45 E Main St, Luray, VA 22835",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Apr 5, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 6, 2017","11:30 AM, EST",,"20593 Blue and Gold Dr, Elkton, VA 22827",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 10, 2017","9:00 AM, EST",,"1 E Main St, Fincastle, VA 24090",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 10, 2017","11:00 AM, EST",,"River James Shopping Center, 174 River James Dr, Madison Heights, VA 24572",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 11, 2017","10:30 AM, EST",,"19753 Main St, Buchanan, VA 24066",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Apr 12, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","9:00 AM, EST",,"116 Broadway Ave, Broadway, VA 22815",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","2:30 PM, EST",,"Water St, Monterey, VA 24465",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","11:30 AM, EST",,"5901 Main St, Mt Jackson, VA 22842",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","11:30 AM, EST",,"65 Courthouse Hill Rd, Warm Springs, VA 24484",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Fri, Apr 14, 2017","9:30 AM, EST",,"601 Dogwood Ave, Grottoes, VA 24441",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 17, 2017","9:00 AM, EST",,"45 E Main St, Luray, VA 22835",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 18, 2017","10:00 AM, EST",,"15583 Forest Rd, Forest, VA 24551",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 18, 2017","11:30 AM, EST",,"600 S Wayne Ave, Waynesboro, VA 22980",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Apr 19, 2017","10:00 AM, EST",,"330 E Criser Rd, Front Royal, VA 22630",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 20, 2017","11:00 AM, EST",,"2039 Sycamore Ave, Buena Vista, VA 24416",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 20, 2017","9:00 AM, EST",,"150 S Main St, Lexington, VA 24450",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 20, 2017","9:30 AM, EST",,"135 N Main St, Woodstock, VA 22664",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 25, 2017","8:30 AM, EST",,"311 S Pollard St, Vinton, VA 24179",https://townhallproject.com
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, May 2, 2017","11:30 AM, EST",,"201 Green St, Bridgewater, VA 22812",https://townhallproject.com
Don Beyer,Democrat,Virginia,VA-08,Teletown Hall,"Wed, Mar 1, 2017","5:45 PM, EST",,Virginia,https://townhallproject.com
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Tue, Feb 21, 2017","5:30 PM, PST",,"701 S 37th St, Tacoma, WA 98418",https://townhallproject.com
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Wed, Feb 22, 2017","5:30 PM, PST",,"515 Pacific Ave, Bremerton, WA 98337",https://townhallproject.com
Dave Reichert,Republican,Washington,WA-08,Tele-town Hall,"Thu, Feb 23, 2017","1:00 PM, PST",,Washington,https://townhallproject.com
Dave Reichert,Republican,Washington,WA-08,Other,"Thu, Feb 23, 2017","1:00 PM, PST",,Washington,https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 2, 2017","8:30 AM, EST",,"224 First St NE #154, Washington, DC 20003",https://townhallproject.com
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Fri, Mar 3, 2017","5:30 PM, PST",,"313 7th St, Hoquiam, WA 98550",https://townhallproject.com
Adam Smith,Democratic,Washington,WA-09,Town Hall,"Sat, Mar 4, 2017","10:00 AM, PST",,"3515 S Alaska St, Seattle, WA 98118",https://townhallproject.com
Adam Smith,Democrat,Washington,WA-09,Town Hall,"Sat, Mar 4, 2017","10:00 AM, PST",,"3515 S Alaska St, Seattle, WA 98118",https://townhallproject.com
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Mon, Mar 6, 2017","5:30 PM, PST",,"503 N Sequim Ave, Sequim, WA 98382",https://townhallproject.com
Derek Kilmer,Democratic,Washington,WA-06,Tele-Town Hall,"Wed, Mar 8, 2017","6:05 PM, PST",,Washington,https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 9, 2017","8:30 AM, EST",,"224 First St NE #154, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 23, 2017","8:30 AM, EST",,"Washington Hall, 241 Jamestown Rd #154, Williamsburg, VA 23185",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 30, 2017","8:30 AM, EST",,"Washington Hall, 241 Jamestown Rd #154, Williamsburg, VA 23185",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Apr 6, 2017","8:30 AM, EST",,"Washington Hall, 241 Jamestown Rd #154, Williamsburg, VA 23185",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Apr 27, 2017","8:30 AM, EST",,"Washington Hall, 241 Jamestown Rd #541, Williamsburg, VA 23185",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 4, 2017","8:30 AM, EST",,"Washington Hall, 241 Jamestown Rd #541, Williamsburg, VA 23185",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 11, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 18, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 25, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 8, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 15, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 22, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 29, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jul 13, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jul 20, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jul 27, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Sep 7, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Sep 14, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Sep 28, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Oct 5, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Oct 19, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Oct 26, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Nov 2, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Nov 16, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Nov 30, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Dec 7, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Dec 14, 2017","8:30 AM, EST",,"224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty Murray,Democratic,Washington,Senate,Coffee,Every Thursday Senate is in session.,"9:00 AM, EST",,Washington,https://townhallproject.com
Maria Cantwell,Democratic,Washington,Senate,Coffee,Every Wed Senate is in session.,"11:30 AM, EST",,"Hart Senate Office Building, #511, Washington, DC 20002",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Fri, Feb 24, 2017","1:30 PM, EST",,"219 Dingess St, Logan, WV 25601",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","3:00 AM, EST",,"200 State St, Madison, WV 25130",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","2:30 PM, EST",,"51 Wharncliffe Ave, Gilbert, WV 25621",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","11:15 AM, EST",,"Mountaineer Dr, Riverton, WV 26814",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","12:00 PM, EST",,"104 N Court St, New Cumberland, WV 26047",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Wed, Feb 22, 2017","11:30 AM, EST",,"409 Spring Ave, Moorefield, WV 26836",https://townhallproject.com
shelley moore capito,Republican,West Virginia,Senate,Mobile Office Hours,"Wed, Feb 22, 2017","12:00 PM, EST",,"214 W Main St, Grafton, WV 26354",https://townhallproject.com
shelley moore capito,Republican,West Virginia,Senate,Mobile Office Hours,"Thu, Feb 23, 2017","11:00 AM, EST",,"418 2nd St, St Marys, WV 26170",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Thu, Feb 23, 2017","11:30 AM, EST",,"1140 Smith St, Milton, WV 25541",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Thu, Feb 23, 2017","11:30 AM, EST",,"10 Summit Dr, Ridgeley, WV 26753",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Fri, Feb 24, 2017","11:00 AM, EST",,"125 N Court St, Fayetteville, WV 25840",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Mon, Feb 27, 2017","11:00 AM, EST",,"Court Square, Parkersburg, WV 26101",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","11:00 AM, EST",,"28 N Kanawha St, Buckhannon, WV 26201",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","11:30 AM, EST",,"106 Sand Mine Rd, Berkeley Springs, WV 25411",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","12:00 PM, EST",,"844 Main St, Follansbee, WV 26037",https://townhallproject.com
Shelley Moore Captio,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","1:30 PM, EST",,"19209 Buffalo Rd, Buffalo, WV 25033",https://townhallproject.com
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","3:45 PM, EST",,"110 Parking Plaza, Spencer, WV 25276",https://townhallproject.com
Ron Johnson,Republican,Wisconsin,Senate,"""Empty Chair"" Town Hall","Wed, Feb 22, 2017","6:00 PM, CST",,"1609 University Ave, Madison, WI 53726",https://townhallproject.com
Ron Kind,Democratic,Wisconsin,WI-03,Town Hall,"Wed, Feb 22, 2017","3:00 PM, CST",,"711 6th St S, La Crosse, WI 54601",https://townhallproject.com
Ron Kind,Democratic,Wisconsin,WI-03,Town Hall,"Wed, Feb 22, 2017","1:15 PM, CST",,"521 East Avenue N, La Crosse, WI 54601",https://townhallproject.com
Ron Kind,Democrat,Wisconsin,WI-03,Town Hall,"Wed, Feb 22, 2017","1:15 PM, CST",,"521 East Avenue N, La Crosse, WI 54601",https://townhallproject.com
Ron Johnson,Republican,Wisconsin,Senate,Teletown Hall,"Thu, Feb 23, 2017","6:30 PM, CST",,Wisconsin,https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","8:30 AM, CST",,"12621 W Hampton Ave, Butler, WI 53007",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","9:30 AM, CST",,"20399 W Main St, Lannon, WI 53046",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","10:15 AM, CST",,"N64W23760 Main St, Sussex, WI 53089",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","11:15 AM, CST",,"N67w28343 Sussex Rd, Hartland, WI 53029",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","1:15 PM, CST",,"Nashotah Village Clerk's Office, N44W32950 Watertown Plank Rd, Nashotah, WI 53058",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","8:30 AM, CST",,"12621 W Hampton Ave, Butler, WI 53007",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","8:30 AM, CST",,"12621 W Hampton Ave, Butler, WI 53007",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","9:30 AM, CST",,"20399 W Main St, Lannon, WI 53046",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","10:15 AM, CST",,"N64W23760 Main St, Sussex, WI 53089",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","11:15 AM, CST",,"N67w28343 Sussex Rd, Hartland, WI 53029",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","1:15 PM, CST",,"Nashotah Village Clerk's Office, N44W32950 Watertown Plank Rd, Nashotah, WI 53058",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 4, 2017","9:00 AM, CST",,"500 Genesee Street, Delafield, WI 53018",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 4, 2017","1:00 PM, CST",,"200 Water St, Lake Mills, WI 53551",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sun, Mar 5, 2017","1:00 PM, CST",,"500 Lincoln Dr, Juneau, WI 53039",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","9:00 AM, CST",,"1115 S Main St, West Bend, WI 53095",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","9:00 AM, CST",,"1115 S Main St, West Bend, WI 53095",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","1:00 PM, CST",,"7421 W National Ave, West Allis, WI 53214",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sun, Mar 19, 2017","1:00 PM, CST",,"4125 Hubertus Rd, Hubertus, WI 53033",https://townhallproject.com
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","9:00 AM, CST",,"1115 S Main St, West Bend, WI 53095",https://townhallproject.com
Mike Enzi,Republican,Wyoming,Senate,Mobile Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",,"213 E Main St, Sundance, WY 82729",https://townhallproject.com
Mike Enzi,Republican,Wyoming,Senate,Mobile Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",,"213 E Main St, Sundance, WY 82729",https://townhallproject.com
Mike Enzi,Republican,Wyoming,Senate,Mobile Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",,"213 E Main St, Sundance, WY 82729",https://townhallproject.com
Michael Enzi,Republican,Wyoming,Senate,Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",,"213 E Main St, Sundance, WY 82729",https://townhallproject.com
