,org_name,phone,site
700,South Royalton Legal Clinic,802-831-1000,http://www.vermontlaw.edu/academics/clinics-and-externships/south-royalton-legal-clinic
701,The Dream Project,703-254-6779,http://www.dreamproject-va.org/
702,Legal Aid Justice Center,703-778-3450,https://www.justice4all.org/
703,Virginia Coalition of Latino Organizations,703-772-1555,http://vacolao.org/
704,Just Neighbors,703-979-1240,http://www.justneighbors.org/
705,Virginia Coalition for Immigrant Rights,202-509-1497,www.VirginiaImmigrantRights.org
706,CASA de Virginia,571-421-2220,http://wearecasa.org/
707,New Virginia Majority,571-699-3139 ,www.newvirginiamajority.org
708,Kitsap Immigrant Assistance Center - Immigration Legal Services,360-616-0479,http://kitsapiac.org/
709,Colectiva Legal del Pueblo,206-931-1514,http://www.colectivalegal.org
710,Northwest Immigrant Rights Project (Granger Office),509-854-2100,http://www.nwirp.org
711,Neighborhood House (Greenbridge Office),206-461-4554,http://www.nhwa.org
712,Neighborhood House (High Point Office),206-588-4900,http://www.nhwa.org
713,Catholic Community Services - Family Immigration (Mount Vernon Office),360-416-7095,http://www.ccsww.org/cils
714,Neighborhood House (New Holly Office),206-760-3601,http://www.nhwa.org
715,Neighborhood House (Rainier Vista Office),206-461-4568,http://www.nhwa.org
716,International Rescue Committee (SeaTac Office),206-431-0333,http://www.rescue.org
717,Asian Counseling and Referral Service,206-695-7566,http://www.acrs.org
718,Catholic Community Services of Western Washington - Catholic Immigration Legal Services (Seattle Office),206-328-6314,http://www.ccsww.org/cils
719,Interchurch Refugee Ministries - Refugee Resettlement Offices,206-323-3152,http://www.dioceserroseattle.org
720,International Rescue Committee (Seattle Office),206-623-2105,http://www.rescue.org
721,Lutheran Community Services Northwest - Refugee Program (Seattle Office),206-694-5700,http://www.lcsnw.org/services.html
722,Northwest Immigrant Rights Project (Seattle Office),206-587-4009,http://www.nwirp.org
723,Refugee Wome's Alliance,206-721-0243,http://www.rewa.org
724,St. James Immigrant Assistance,206-382-4511,http://www.stjames-cathedral.org/immigrant/
725,Tacoma Community House,253-383-3951,www.tacomacommunityhouse.org
726,OneAmerica,206-723-2203,www.weareoneamerica.org
727,Washington CAN! (Washington Community Action Network),206-389-0050,www.washingtoncan.org
728,Northwest Immigrant Rights Project,206-587-4009 or Toll Free 800-445-5771,https://www.nwirp.org/
729,Northwest Immigrant Rights Project (Tacoma Office),253-383-0519,http://www.nwirp.org
730,Lutheran Community Services Northwest - Immigration Counseling & Advocacy Program (Vancouver Office),360-694-5624,http://www.lcsnw.org/vancouver
731,Northwest Immigrant Rights Project (Wenatchee Office),509-570-0054,http://www.nwirp.org
732,Neighborhood House (Yesler Terrace Office),206-461-4522,http://www.nhwa.org
733,One America,317-285-1877,https://www.oneamerica.com/
734,Catholic Charities of West Virginia - Migration & Refugee Services (Charleston Office),304-343-1036 or 304-267-3071,http://www.catholiccharitieswv.org
735,Legal Aid of West Virginia,304-343-4481,http://www.lawv.net
736,Catholic Charities of West Virginia - Eastern Panhandle Immigration and Rural Outreach (Martinsburg Office),304-267-3071,http://www.catholiccharitieswv.org
737,West Virginia University College of Law Immigration Clinic,304-293-7249,http://www.law.wvu.edu/clinical-law/immigration
738,Catholic Charities of Appleton,920-734-2601,http://www.newcatholiccharities.org
739,Catholic Charities of Greenbay,920-272-8234,http://www.newcatholiccharities.org
740,Faith Community Church - Immigration Legal Services Outreach - Janesville,608-758-2850,http://www.faithcommunitychurch.net
741,Catholic Charities of La Crosse,608-782-0710,https://www.cclse.org
742,Jewish Social Services - Madison,608-278-1808,http://www.jssmadison.org
743,Rise Law Center - Madison,608-256-1015,https://www.facebook.com/pages/RISE-Law-Center/276984419010325
744,Catholic Charities of Manitowoc,920-684-6651,http://www.newcatholiccharities.org
745,Catholic Charities of Milwaukee,414-643-8570,http://www.ccmke.org
746,Centro Hispano Milwaukee - Council for the Spanish Speaking,414-384-3700,http://www.centrohispanomke.org
747,International Institute of Wisconsin - Milwaukee,414-225-6220,http://www.iiwisconsin.org
748,United Migrant Opportunity Services - Milwaukee,414-389-6506,http://www.umos.org
749,Voces de la Frontera (VOCES),414-643-1620,www.vdlf.org
750,"University of Wyoming College of Law - Legal Services Program, International and Human Rights and Domestic Violence Clinics",307-766-3747,http://www.uwyo.edu/law/
